City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Voh,NC,71.35,broken clouds,-20.9667,164.7,Le gîte du Koniambo
2,Kailua,US,76.98,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
4,Katsuura,JP,80.2,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
11,Jamestown,US,77.52,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
15,Maceio,BR,76.44,light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
17,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Schio,IT,88.86,scattered clouds,45.7124,11.3574,Schio Hotel
25,Margate,GB,76.69,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
26,Rikitea,PF,72.07,overcast clouds,-23.1203,-134.9692,People ThankYou
29,Anloga,GH,75.47,broken clouds,5.7947,0.8973,Pin Drop Hotel
31,Georgetown,MY,79.95,moderate rain,5.4112,100.3354,Cititel Penang
34,Salvador,SV,84.06,scattered clouds,13.8333,-88.9167,Chico's Ranch
40,Grand-Santi,GF,88.79,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
44,Sao Filipe,CV,78.91,broken clouds,14.8961,-24.4956,Hotel Xaguate
48,Sola,VU,80.89,broken clouds,-13.8833,167.55,Leumerus Bungalows
49,Hamilton,US,85.24,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
50,Castro,BR,76.41,clear sky,-24.7911,-50.0119,CHACARA BAILLY
51,Sao Joao Da Barra,BR,86.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
53,Agadir,MA,82.85,few clouds,30.4202,-9.5982,Iberostar Founty Beach
55,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
59,Kavieng,PG,81.86,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
64,Broome,US,85.17,overcast clouds,42.2506,-75.833,Chenango Valley State Park
65,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
66,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
69,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
73,Noumea,NC,73.99,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
75,Daoukro,CI,76.19,overcast clouds,7.0591,-3.9631,Komenan brou roseline
77,Yuanping,CN,72.5,broken clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
79,Butaritari,KI,81.55,broken clouds,3.0707,172.7902,Isles Sunset Lodge
80,Ribeira Grande,PT,77.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
84,Nantucket,US,82.54,clear sky,41.2835,-70.0995,Jared Coffin House
85,Victoria,HK,86.38,light rain,22.2855,114.1577,Mini Central
87,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
89,Garmsar,IR,93.0,few clouds,35.2182,52.3409,مجتمع مرصاد
91,Bastrop,US,87.48,broken clouds,32.7562,-91.8724,Best Budget Inn
93,Hithadhoo,MV,80.85,scattered clouds,-0.6,73.0833,Scoop Guest House
94,Bontang,ID,77.74,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
96,Baiyin,CN,74.3,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
97,Soyo,AO,71.01,few clouds,-6.1349,12.3689,Hospedaria ndozi'ame
98,Veraval,IN,82.47,overcast clouds,20.9,70.3667,Lords Inn Somnath
101,Itoman,JP,82.42,clear sky,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
102,Bubaque,GW,79.54,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
103,Korla,CN,78.93,scattered clouds,41.7597,86.1469,Gulisitan Hotel
104,Waingapu,ID,73.26,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
105,Juxtlahuaca,MX,80.78,few clouds,17.4294,-99.1467,"Casa de Huespedes ""El centro"""
108,Faanui,PF,78.21,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
110,Zhezkazgan,KZ,76.98,scattered clouds,47.8043,67.7144,Hotel Zumrat
115,Nouadhibou,MR,78.78,broken clouds,20.931,-17.0347,El Medina
120,Claveria,PH,76.41,moderate rain,18.6074,121.0832,Casa Grand Inn By The Sea
122,Artyom,AZ,82.54,few clouds,40.4723,50.333,Pir hos
124,Aljezur,PT,74.79,clear sky,37.3191,-8.8033,Amazigh Hostel
128,Kapaa,US,74.19,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
129,Middle Island,US,88.07,clear sky,40.8843,-72.9373,Cathedral pines
131,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
132,Alofi,NU,73.29,clear sky,-19.0595,-169.9187,Taloa Heights
133,Hilo,US,73.62,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
135,Jalu,LY,94.48,clear sky,29.0331,21.5482,صاحبة الفخامة
136,Padang,ID,76.66,overcast clouds,-0.9492,100.3543,Mercure Padang
139,Makat,KZ,87.28,clear sky,47.6469,53.3463,Umit
142,Atuona,PF,76.51,clear sky,-9.8,-139.0333,Villa Enata
145,Bandundu,CD,85.03,overcast clouds,-3.3167,17.3667,Coja Color
147,Saint George,US,93.43,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
153,Grand Forks,US,75.78,broken clouds,47.9417,-97.4337,Warrior Inn
157,Cabras,IT,84.6,broken clouds,39.93,8.5314,Hotel Villa Canu
158,Mana,GF,85.93,few clouds,5.6592,-53.7767,LE SAMANA
161,Arraial Do Cabo,BR,78.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
162,Pitimbu,BR,79.34,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
164,Tura,IN,75.45,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
165,Dingle,PH,76.68,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
170,Guerrero Negro,MX,80.26,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
172,Lompoc,US,81.84,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
173,Oussouye,SN,82.9,light rain,12.485,-16.5469,Auberge du Routard
174,Tirat Karmel,IL,81.95,few clouds,32.7617,34.9719,Marom Hotel Haifa מלון מרום
179,Bethel,US,87.73,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
183,Den Helder,NL,74.98,few clouds,52.9599,4.7593,Hotel Den Helder
185,Moussoro,TD,85.3,scattered clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
186,El Arenal,MX,70.93,overcast clouds,20.7833,-103.7,Hotel el campesino
187,Eureka,US,72.19,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
193,Mantenopolis,BR,77.77,broken clouds,-18.8625,-41.1228,Deed's Hotel
197,Lorengau,PG,81.7,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
200,Ponta Do Sol,PT,83.71,clear sky,32.6667,-17.1,Hotel do Campo
202,Roma,US,79.72,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
203,Coahuayana,MX,90.86,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
204,Lasa,IT,75.36,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
205,Middelkerke,BE,82.17,few clouds,51.1558,2.8418,Honfleur
207,San Clemente,US,89.55,clear sky,33.427,-117.612,Casablanca Inn
208,Salalah,OM,77.45,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
209,Kenora,CA,74.37,scattered clouds,49.8167,-94.4337,Maynard Lake Lodge
211,Sabang,ID,79.86,overcast clouds,5.8933,95.3214,Hotel Citra
213,Daru,PG,77.54,broken clouds,-9.0763,143.2092,Daru Lodge
216,Gavle,SE,70.38,overcast clouds,60.6745,17.1417,Scandic CH
220,Alice Springs,AU,72.95,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
221,Jacareacanga,BR,93.63,broken clouds,-6.2222,-57.7528,Casa do Ian😎
222,Dhidhdhoo,MV,80.92,overcast clouds,6.8833,73.1,Dhidhoo beach
224,Torbay,CA,82.76,broken clouds,47.6666,-52.7314,Gallows Cove
225,Algiers,DZ,85.82,scattered clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
226,Sawakin,SD,93.83,overcast clouds,19.1059,37.3321,فندق الدويم
227,Kijang,KR,78.24,scattered clouds,35.2442,129.2139,Samyang Beach Villa
229,Ishikari,JP,70.27,moderate rain,43.2397,141.3539,ザ・吉岡
230,Manga,BF,83.86,overcast clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
232,Corinth,GR,86.9,clear sky,37.9407,22.9573,Ephira Hotel
234,Morehead,US,80.35,broken clouds,37.2711,-87.1764,CCI Express Inn
235,Chichihualco,MX,74.16,broken clouds,17.6833,-99.65,Hotel Chichihualco
238,Mange,SL,75.67,moderate rain,8.9167,-12.85,Ferry Manage Burah
239,Ayr,GB,70.5,scattered clouds,55.4627,-4.6339,Mercure Ayr Hotel
240,Auki,SB,76.12,broken clouds,-8.7676,160.7034,Auki Motel
242,Port Keats,AU,70.02,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
243,Ukiah,US,86.65,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
244,Kaseda,JP,80.44,scattered clouds,31.4167,130.3167,Sun Stay Kaseda
247,Port Hedland,AU,71.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
248,Almeirim,BR,90.91,few clouds,-1.5233,-52.5817,Ricácio Hotel
249,Bogale,MM,79.3,broken clouds,16.2833,95.4,Aung Pin Lel Guest House
250,Maneadero,MX,75.09,clear sky,31.7167,-116.5667,Casa De Thompson
251,Vila Franca Do Campo,PT,73.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
253,Altamira,BR,92.21,scattered clouds,-3.2033,-52.2064,Requinte Hotel
257,Creel,MX,74.17,clear sky,27.75,-107.6333,The Lodge at Creel Hotel & SPA
258,Ciudad Bolivar,VE,87.89,overcast clouds,8.1222,-63.5497,Hotel Edi
259,Touros,BR,82.02,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
260,Tazmalt,DZ,90.97,clear sky,36.3868,4.3989,Hôtel Numédia
262,Mayo,US,91.81,few clouds,38.8876,-76.5119,Resorts Resource Group International
263,Upata,VE,81.09,broken clouds,8.0086,-62.3989,Posada Villa Nela
264,Zambezi,ZM,73.35,scattered clouds,-13.5432,23.1047,Royal Kutachika Lodge
265,Cascais,PT,87.26,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
266,Tual,ID,79.41,broken clouds,-5.6667,132.75,Grand Vilia Hotel
267,Pingliang,CN,71.15,scattered clouds,35.5392,106.6861,North Gate Hostel
268,Saurimo,AO,80.69,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
269,Quelimane,MZ,73.35,few clouds,-17.8786,36.8883,Hotel Flamingo
270,Palmer,US,88.63,few clouds,42.1584,-72.3287,Wedgewood Motel
271,Oda,JP,78.08,overcast clouds,35.1833,132.5,Sky Hotel Oda
273,Banjarmasin,ID,75.34,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
274,Northam,GB,73.38,broken clouds,51.0333,-4.2167,Durrant House Hotel
275,Labuhan,ID,77.92,overcast clouds,-6.8844,112.2051,DoubleFAG
277,Bengkulu,ID,74.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
279,Mabay,PH,77.94,overcast clouds,6.0577,124.4666,Bautista Lodging House
280,Manzanillo,CU,93.15,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
281,San Francisco,US,84.02,scattered clouds,37.7749,-122.4194,Edwardian Hotel
282,Palasa,IN,81.46,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
284,Achutupo,PA,86.58,overcast clouds,9.2,-77.9833,Akwa Reef Lodge
286,Along,IN,74.86,overcast clouds,28.1667,94.7667,Hotel West
287,Dumas,US,89.74,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
289,Medicine Hat,CA,73.22,few clouds,50.0501,-110.6683,Ramada Limited Medicine Hat
291,Armacao De Pera,PT,81.09,clear sky,37.1026,-8.357,VILA VITA Parc Resort & Spa
293,Jaque,PA,80.94,moderate rain,7.5175,-78.1703,Aventuras Jaque S.A
294,Laguna,US,90.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
295,Ormara,PK,82.38,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
296,Garissa,KE,80.92,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
297,Kihei,US,76.84,scattered clouds,20.785,-156.4656,Maui Sunset
298,Novokayakent,RU,81.19,overcast clouds,42.3937,47.9861,"Baza Otdykha ""Svyazist"""
301,Wichian Buri,TH,78.22,overcast clouds,15.6578,101.106,Mit Sali Hotel
302,Chifeng,CN,76.59,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
304,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
305,Palmerston,AU,71.58,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
306,Vavoua,CI,78.08,overcast clouds,7.3819,-6.4778,Hotel Le Peuple
307,Manggar,ID,80.74,overcast clouds,-2.8833,108.2667,Guest Hotel
308,Port Blair,IN,78.78,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
311,Galle,LK,77.95,overcast clouds,6.0367,80.217,Amangalla
312,Ogaminana,NG,77.92,overcast clouds,7.5946,6.2248,Billy Guest Inn
313,Ozu,JP,80.19,overcast clouds,33.5,132.55,HOTEL FOREST
314,Havelock,US,92.95,broken clouds,34.8791,-76.9013,Sherwood Motel
315,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
318,Iralaya,HN,82.51,overcast clouds,15.0,-83.2333,Iglesia morava renovada
319,Zhangjiakou,CN,76.48,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
320,Cercany,CZ,80.82,broken clouds,49.8529,14.703,Sázavka
322,Cabo San Lucas,MX,91.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
323,Saint-Georges,GD,83.39,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
327,Yarada,IN,84.52,thunderstorm,17.65,83.2667,Yarada Jungle Beach Resorts
328,Muroto,JP,80.8,overcast clouds,33.2833,134.15,Oota Ryokan
331,Soria,ES,93.11,few clouds,41.6667,-2.6667,Casa Rural Sierra de Inodejo
335,Bluefield,US,82.4,broken clouds,37.2698,-81.2223,Economy Inn
337,Asau,RO,76.28,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
338,Tanete,ID,73.08,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
339,Gat,IL,86.4,clear sky,31.61,34.7642,OlusHome
343,Dongsheng,CN,76.82,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
